zone,state,lga,sector,ea,hhid,Sec9_resp,s9q1a,s9q1b,s9q1c,s9q1d,s9q1e,s9q1f,s9q1g,s9q1h,s9q1i,s9q1j,s9q2a,s9q2b1,s9q2b,s9q4,s9q5__0,s9q5__1,s9q5__2,s9q5__3,s9q5__4,s9q5__5,s9q5__6,s9q5__7,s9q5__8,s9q5__9,s9q5__10,s9q5__11,s9q5__12,s9q5__13,s9q5__14,s9q5__15,s9q5__16,s9q5__17,s9q5__18,s9q5__19,s9q6_1,s9q6_2,s9q6_3,s9q6_os
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10079,5101,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,3,5,5,1. YES,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,5. FOOD IN THE MARKET WAS VERY EXPENSIVE,12. LACK OF MONEY,13. LACK OF ACCESS TO MONEY AT THE BANK DUE TO NAIRA REDESIGN,
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10080,1,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,3,,,1. YES,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13. LACK OF ACCESS TO MONEY AT THE BANK DUE TO NAIRA REDESIGN,12. LACK OF MONEY,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10091,2,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,3,,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,13. LACK OF ACCESS TO MONEY AT THE BANK DUE TO NAIRA REDESIGN,12. LACK OF MONEY,5. FOOD IN THE MARKET WAS VERY EXPENSIVE,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10092,1,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,3,3,,1. YES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13. LACK OF ACCESS TO MONEY AT THE BANK DUE TO NAIRA REDESIGN,12. LACK OF MONEY,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10094,2,1. YES,2. NO,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,1. YES,2. NO,3,3,,1. YES,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13. LACK OF ACCESS TO MONEY AT THE BANK DUE TO NAIRA REDESIGN,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10096,5,2. NO,2. NO,1. YES,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,3,,,1. YES,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13. LACK OF ACCESS TO MONEY AT THE BANK DUE TO NAIRA REDESIGN,12. LACK OF MONEY,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10097,1302,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,2,3,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,5. FOOD IN THE MARKET WAS VERY EXPENSIVE,6. UNABLE TO REACH THE MARKET DUE TO HIGH TRANSPORTATION COSTS,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10099,5101,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,3,,,1. YES,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,5. FOOD IN THE MARKET WAS VERY EXPENSIVE,12. LACK OF MONEY,13. LACK OF ACCESS TO MONEY AT THE BANK DUE TO NAIRA REDESIGN,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10100,2,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,2,3,,1. YES,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,12. LACK OF MONEY,,,
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10102,1,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,3,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
