zone,state,lga,sector,ea,hhid,indiv,FILTER,s1dq1,s1dq3a,s1dq3b,s1dq3c_1,s1dq3c_2,s1dq3c_os,s1dq4,s1dq4_os,s1dq4a,s1dq4a_os,s1dq4b_1,s1dq4b_2,s1dq4b_os,s1dq5,s1dq5_os,s1dq6,s1dq7,s1dq7a__1,s1dq7a__2,s1dq7a__3,s1dq7a__4,s1dq7a__96,s1dq7a_os,s1dq7b,s1dq7b_os,s1dq8a,s1dq8b,s1dq8c,s1dq8c_os,s1dq8d__1,s1dq8d__2,s1dq8d__3,s1dq8d__4,s1dq8d__5,s1dq8d__6,s1dq8d__7,s1dq8d__8,s1dq8d__9,s1dq8d__10,s1dq8d__11,s1dq8d__12,s1dq8d__13,s1dq8d__14,s1dq8d__15,s1dq8d__16,s1dq8d__17,s1dq8d__18,s1dq8d__19,s1dq8d__96,s1dq8d_os
6. South West,24. Lagos,2411. IKEJA,2. RURAL,0,279031,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2711. IJEBU ODE,2. RURAL,1218,279032,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2711. IJEBU ODE,2. RURAL,1218,279032,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2711. IJEBU ODE,2. RURAL,1218,279032,5,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
6. South West,24. Lagos,2411. IKEJA,2. RURAL,0,279034,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
6. South West,24. Lagos,2411. IKEJA,2. RURAL,0,279034,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
6. South West,24. Lagos,2411. IKEJA,2. RURAL,0,279034,3,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2711. IJEBU ODE,2. RURAL,1218,279036,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2711. IJEBU ODE,2. RURAL,1218,279036,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2711. IJEBU ODE,2. RURAL,1218,279036,4,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2711. IJEBU ODE,2. RURAL,1218,279036,5,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2711. IJEBU ODE,2. RURAL,1218,279036,6,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2711. IJEBU ODE,2. RURAL,1218,279036,601,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2711. IJEBU ODE,2. RURAL,1218,279036,1101,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2712. IKENNE,2. RURAL,172,279037,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
