hhid,indiv,wt_cross_wave5,target,target_harvest,s1q2,s1q6,s1q8,s1q25,s4aq4,s9q1a,s9q1b,s9q1c,s9q1d,s9q1e,s9q1f,s9q1g,s9q1h,s9q1i,s9q1j,s9q2a,s9q4,remesas_exterior,remesas_interior,ingreso_mensual,tiene_empleo,shock_floods,shock_diseases_or_injury_of_hou,shock_stopped_receiving_remitta,shock_loss_of_a_regular_job_of_,shock_departure_of_a_household_,shock_loss_of_an_important_cont,"shock_nonfarm_business_closure,",shock_loss_of_land,shock_theft_looting_of_cash_and,shock_hijacking_robbery_assault,shock_kidnapping_abduction_for_,shock_irregular_rains_(includin,shock_domestic_violence,shock_withdraw_of_assistance_(g,shock_increase_in_price_of_farm,shock_fall_in_the_price_of_farm,shock_increase_in_price_of_majo,shock_increase_in_price_of_oil_,shock_increase_in_prices_of_oth,shock_shortage_scarcity_of_petr,shock_dwelling_farm_buildings_b,shock_droughts,shock_fire,shock_very_high_temperatures_(&,shock_pests_and_plant_diseases,shock_death_of_livestock_due_to,shock_post_harvest_loss,shock_death_of_a_household_memb,shock_other_(specify),n_shocks,edu_nivel,zona_East,zona_South,zona_West
10001,1,7815.80076686835,1,1.0,1,63.0,0,0,1.0,1,1,1,0,1,1,0,0,0,0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
10001,2,7815.80076686835,1,1.0,0,63.0,0,0,1.0,1,1,1,0,1,1,0,0,0,0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
10001,4,7815.80076686835,0,0.0,0,54.0,0,0,0.0,1,1,1,0,1,1,0,0,0,0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
10001,101,7815.80076686835,0,0.0,0,66.0,0,0,0.0,1,1,1,0,1,1,0,0,0,0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
10002,1,8593.038490257506,1,1.0,1,56.0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
10002,2,8593.038490257506,1,1.0,0,52.0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1,0,0
10002,3,8593.038490257506,0,1.0,1,25.0,1,1,0.0,0,0,0,0,1,0,0,0,0,0,3.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
10002,8,8593.038490257506,0,0.0,1,22.0,1,1,0.0,0,0,0,0,1,0,0,0,0,0,3.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
10004,1,10833.382132806972,1,1.0,1,76.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3.0,1,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,0,0
10004,2,10833.382132806972,1,0.0,0,63.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3.0,1,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,0,0
10004,3,10833.382132806972,0,0.0,1,24.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3.0,1,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1,0,0
10005,1,8380.989149697492,1,0.0,1,56.0,0,0,1.0,1,0,0,1,1,1,1,0,1,0,3.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1,0,0
10005,2,8380.989149697492,0,1.0,0,52.0,0,0,1.0,1,0,0,1,1,1,1,0,1,0,3.0,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,0,0
10005,3,8380.989149697492,0,0.0,1,21.0,1,1,0.0,1,0,0,1,1,1,1,0,1,0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,0,0
10005,4,8380.989149697492,0,0.0,0,19.0,1,1,0.0,1,0,0,1,1,1,1,0,1,0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,0,0
10005,5,8380.989149697492,0,0.0,0,17.0,1,1,0.0,1,0,0,1,1,1,1,0,1,0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,0,0
10008,1,9613.875305297142,1,0.0,1,68.0,0,0,1.0,1,1,1,1,1,1,0,0,1,0,3.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1,0,0
10008,2,9613.875305297142,1,1.0,0,54.0,0,0,1.0,1,1,1,1,1,1,0,0,1,0,3.0,1,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1,0,0
10008,6,9613.875305297142,1,0.0,1,23.0,0,1,0.0,1,1,1,1,1,1,0,0,1,0,3.0,1,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,0,0
10008,7,9613.875305297142,1,0.0,0,22.0,0,1,0.0,1,1,1,1,1,1,0,0,1,0,3.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,0,0
10008,1302,9613.875305297142,1,0.0,1,28.0,0,1,0.0,1,1,1,1,1,1,0,0,1,0,3.0,1,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,0,0
10009,1,10333.816949356067,0,1.0,1,49.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1,0,0
10009,2,10333.816949356067,1,1.0,0,38.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
10010,1,8786.844252623212,1,1.0,1,72.0,0,0,0.0,1,1,1,0,0,0,1,0,0,0,3.0,1,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1,0,0
10010,2,8786.844252623212,1,0.0,0,65.0,0,0,1.0,1,1,1,0,0,0,1,0,0,0,3.0,1,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1,0,0
10010,4,8786.844252623212,1,0.0,0,34.0,0,0,0.0,1,1,1,0,0,0,1,0,0,0,3.0,1,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1,0,0
10031,1,8122.6957249036,1,1.0,1,53.0,1,0,1.0,1,1,0,0,1,1,1,0,1,0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1,0,0
10031,2,8122.6957249036,0,1.0,0,42.0,1,0,1.0,1,1,0,0,1,1,1,0,1,0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1,0,0
10031,3,8122.6957249036,0,0.0,1,19.0,1,1,0.0,1,1,0,0,1,1,1,0,1,0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1,0,0
10031,1601,8122.6957249036,0,0.0,1,16.0,1,1,0.0,1,1,0,0,1,1,1,0,1,0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1,0,0
10032,1,5979.009236549434,0,1.0,1,56.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,3.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
10032,2,5979.009236549434,1,1.0,0,42.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,3.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
10032,1801,5979.009236549434,0,1.0,0,20.0,1,0,0.0,0,0,0,0,1,0,0,0,0,0,3.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
10032,2101,5979.009236549434,0,1.0,0,18.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,3.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
10033,2,6438.630558177804,1,1.0,0,55.0,0,0,1.0,1,0,1,1,1,1,1,0,0,0,3.0,1,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,0,0
10034,2,6239.8471099038525,1,1.0,0,59.0,0,0,0.0,1,0,1,1,1,1,0,0,0,0,3.0,1,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0
10034,9,6239.8471099038525,0,1.0,1,24.0,0,0,0.0,1,0,1,1,1,1,0,0,0,0,3.0,1,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1,0,0
10035,1,8195.817065765657,0,0.0,1,73.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
10035,2,8195.817065765657,1,1.0,0,63.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
10036,1,5794.415934827293,0,1.0,1,70.0,0,0,0.0,1,1,1,1,1,1,0,0,1,0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
10036,2,5794.415934827293,1,1.0,0,60.0,0,0,0.0,1,1,1,1,1,1,0,0,1,0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
10036,3,5794.415934827293,0,1.0,0,30.0,1,1,0.0,1,1,1,1,1,1,0,0,1,0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
10037,1,7423.54836219179,1,1.0,0,75.0,0,0,1.0,1,1,1,1,1,1,1,0,0,0,3.0,1,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1,0,0
10038,1,9372.657565753449,1,1.0,1,64.0,0,0,0.0,1,1,1,1,1,1,1,0,1,0,3.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1,0,0
10038,4,9372.657565753449,1,0.0,1,21.0,0,1,0.0,1,1,1,1,1,1,1,0,1,0,3.0,1,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1,0,0
10040,1,10598.505120040742,1,1.0,1,44.0,1,0,1.0,0,0,0,0,0,0,0,0,0,0,3.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0,1,0
10051,2,4423.40811576828,0,1.0,1,48.0,1,0,0.0,1,1,1,1,1,1,1,0,1,0,2.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1,0,0
10051,3,4423.40811576828,0,1.0,0,40.0,1,0,0.0,1,1,1,1,1,1,1,0,1,0,2.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1,0,0
10052,1,6862.79189817522,1,1.0,1,51.0,0,0,0.0,1,1,1,1,1,1,1,0,1,1,2.0,1,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1,0,0
10052,2,6862.79189817522,1,1.0,0,45.0,1,0,0.0,1,1,1,1,1,1,1,0,1,1,2.0,1,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1,0,0
10052,3,6862.79189817522,1,1.0,1,19.0,1,1,0.0,1,1,1,1,1,1,1,0,1,1,2.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1,0,0
10052,4,6862.79189817522,1,1.0,1,17.0,1,1,0.0,1,1,1,1,1,1,1,0,1,1,2.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1,0,0
10053,5101,4910.897352883819,1,0.0,1,51.0,0,0,0.0,1,0,1,1,1,1,1,0,1,0,3.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1,0,0
10053,5102,4910.897352883819,0,1.0,0,44.0,0,0,0.0,1,0,1,1,1,1,1,0,1,0,3.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0
10054,1,4708.853253928132,1,1.0,1,75.0,0,0,0.0,1,1,1,1,1,1,1,0,1,0,2.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,0,0
10054,2,4708.853253928132,1,1.0,0,68.0,1,0,0.0,1,1,1,1,1,1,1,0,1,0,2.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,0,0
10054,1101,4708.853253928132,1,1.0,0,38.0,1,0,1.0,1,1,1,1,1,1,1,0,1,0,2.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1,0,0
10054,1301,4708.853253928132,1,0.0,0,28.0,1,1,0.0,1,1,1,1,1,1,1,0,1,0,2.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,0,0
10054,1501,4708.853253928132,1,1.0,0,35.0,1,1,0.0,1,1,1,1,1,1,1,0,1,0,2.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,0,0
10055,1,5268.775265699932,1,1.0,1,60.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,1,0,0
10055,2,5268.775265699932,1,1.0,0,50.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,1,0,0
10055,5,5268.775265699932,1,0.0,0,33.0,1,1,1.0,0,0,0,0,0,0,0,0,0,0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1,0,0
10055,1601,5268.775265699932,1,0.0,1,25.0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1,0,0
10056,1,4772.17107597205,0,0.0,0,77.0,0,0,0.0,1,1,1,1,1,1,1,0,1,0,3.0,1,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,0,0
10056,101,4772.17107597205,1,1.0,0,42.0,1,0,0.0,1,1,1,1,1,1,1,0,1,0,3.0,1,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1,0,0
10056,201,4772.17107597205,0,1.0,1,42.0,1,0,0.0,1,1,1,1,1,1,1,0,1,0,3.0,1,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1,0,0
